Price,Close,High,Low,Open,Volume
Ticker,UBS,UBS,UBS,UBS,UBS
Date,,,,,
2022-01-03,15.80209732055664,15.841341004447083,15.671283932014285,15.68000493547453,1887200
2022-01-04,16.238136291503906,16.307029385941476,16.081161567754272,16.13348592121708,2363300
2022-01-05,16.037555694580078,16.342784122923835,15.993952346257164,16.2730177675905,2868200
2022-01-06,16.58696937561035,16.613130722693803,16.36894927865447,16.499761004155733,4109400
2022-01-07,16.874755859375,16.90963820998618,16.770105480818785,16.831150841909356,3074600
2022-01-10,16.778825759887695,16.796267766120895,16.61661975933046,16.770104756771094,3539900
2022-01-11,16.88347816467285,16.90963951380808,16.722142082652105,16.787548782213108,2545300
2022-01-12,17.066612243652344,17.09277525305482,16.94888119638309,16.961963532764965,2275200
2022-01-13,17.066612243652344,17.254109652633606,17.044810567497578,17.18870296080804,2379100
2022-01-14,17.11021614074707,17.12329681291253,16.956729489670295,17.01428677590394,2186400
2022-01-18,16.909637451171875,17.036089501105753,16.709059369914787,17.01428782503194,5706900
2022-01-19,16.71778106689453,16.94452216686793,16.709060063430787,16.935801163404182,2711200
2022-01-20,16.709060668945312,16.900917762016377,16.682897657605963,16.75266402448284,6415700
2022-01-21,16.59568977355957,16.770104846743536,16.539004084678176,16.76138384358015,7836900
2022-01-24,16.107322692871094,16.133485700925863,15.71052621919358,16.00267398737438,11875800
2022-01-25,16.229415893554688,16.290461252096602,15.82389839654195,16.002674802283813,6053100
2022-01-26,16.395111083984375,16.586969839219297,16.238138007012232,16.5520858243179,6186500
2022-01-27,16.063722610473633,16.377672117549434,15.89802685247679,16.246858714026835,7977200
2022-01-28,16.07244110107422,16.081162104169124,15.745410970140894,15.810815998310803,9245700
2022-01-31,16.281740188598633,16.290461191695325,15.972152063791796,16.011395746046272,6229600
2022-02-01,17.79043960571289,17.79043960571289,17.21486668195169,17.24102969243587,9568100
2022-02-02,17.903810501098633,17.99101720695265,17.668348403225682,17.86020548481033,5507700
2022-02-03,17.7642765045166,18.038980602349717,17.738113496615803,17.964854575005877,4193000
2022-02-04,17.799161911010742,17.868928280709817,17.54625944461215,17.55497878538326,4220400
2022-02-07,17.97357749938965,18.05206486812281,17.768638073990687,17.877648123524374,3481500
2022-02-08,18.348569869995117,18.36601021142201,18.091306121135737,18.16543214644314,3933600
