Price,Close,High,Low,Open,Volume
Ticker,NOVN.SW,NOVN.SW,NOVN.SW,NOVN.SW,NOVN.SW
Date,,,,,
2022-01-03,62.99811553955078,63.27259917020348,62.73931939330866,62.73931939330866,2696153
2022-01-04,63.10790252685547,63.49217957040279,62.84125950928825,63.32748940888251,3588871
2022-01-05,63.60197830200195,63.75098730598405,62.77852742590366,62.84126473659567,3843218
2022-01-06,63.994102478027344,63.994102478027344,63.05301125032202,63.170651599329496,5174983
2022-01-07,64.09605407714844,64.16663197228831,63.25691573086341,63.64903338548932,3500452
2022-01-10,64.6136474609375,64.76265013757828,63.962727408892015,63.99409606119164,5039621
2022-01-11,64.85677337646484,65.65669624044071,64.53523358848929,64.99009490593937,5706229
2022-01-12,64.22937774658203,65.09988477685582,64.22937774658203,64.98225073910129,5164355
2022-01-13,64.69992065429688,64.75481738067502,63.92351958632659,64.15095339051537,4733310
2022-01-14,64.55876159667969,64.90382945573882,64.20585315144483,64.37838392453874,3873961
2022-01-17,64.66070556640625,64.99792647999207,64.15094759060894,64.73912404311004,4413024
2022-01-18,64.38622283935547,64.56660050681411,63.696093452023135,64.31564493986338,4940187
2022-01-19,63.88431167602539,64.3078043242675,63.33534440080128,64.04116127262404,5461551
2022-01-20,63.829410552978516,63.907835345877224,63.233387177244914,63.52355827968306,3921737
2022-01-21,62.637367248535156,63.50787429088412,62.48835823996622,63.27259989924051,6653521
2022-01-24,60.19053649902344,62.535414585799344,60.19053649902344,62.19034673949881,6825621
2022-01-25,60.55912780761719,60.621865122211936,59.531771138554156,59.8376234382926,6168359
2022-01-26,61.29631042480469,61.61000960855483,61.10025159139632,61.10809217712879,4150110
2022-01-27,62.48051834106445,62.51973389653842,60.63755136843755,60.755185409117175,5244898
2022-01-28,62.245243072509766,62.34719593986464,61.46100141562873,62.253089971217015,5003419
2022-01-31,62.84126663208008,63.170653305325565,62.16681842674959,62.504045685850365,5261470
2022-02-01,63.60197830200195,63.90783689558492,62.504043800537566,62.97458625646932,6583954
2022-02-02,61.657066345214844,63.20986216891084,60.786559308618415,61.955078047512316,9873383
2022-02-03,62.33151626586914,62.86479606009453,61.52374651919967,61.7041178749926,7814544
2022-02-04,62.61384201049805,63.162809302961946,62.09624337576475,62.54325779595069,4659496
2022-02-07,63.053009033203125,63.225546101390236,62.65304448638337,62.7471567622801,3648097
2022-02-08,62.91184997558594,63.59413875736023,62.77852845352993,63.28044588589448,4142348
2022-02-09,63.20201873779297,63.743145391626484,62.92753511814854,63.42944621896386,4640715
2022-02-10,62.856956481933594,63.98626602817356,62.856956481933594,63.28828972614172,5694917
2022-02-11,62.55894088745117,62.802055858877445,62.34719457155234,62.73931854782257,4119165
2022-02-14,62.10407257080078,63.17064461523782,61.63353016540633,61.986438547669714,6914715
2022-02-15,62.80989456176758,62.998112802161124,61.61784781023203,62.25308673888676,4655885
2022-02-16,63.31182098388672,63.50787983761115,62.504051183611,62.66090079173919,3821931
2022-02-17,62.723628997802734,63.36670850998336,62.449145379889224,63.25691506281796,4640652
2022-02-18,62.605995178222656,63.48434275853411,62.49620173068373,63.115753175883725,6579811
2022-02-21,61.821754455566406,63.28044426213478,61.78253890209509,62.64520532401429,4016620
2022-02-22,62.19034194946289,62.206029432897346,61.076720011734416,61.21788211116213,4731994
2022-02-23,62.46482849121094,63.186332818476664,62.24524159005852,62.260929074228365,3855077
2022-02-24,61.70412063598633,62.002132359838946,61.02183179953691,61.26494679301857,7682555
2022-02-25,63.421600341796875,63.46080957867284,61.47668078445672,61.56294615587999,6139547
2022-02-28,63.005950927734375,63.46081218366614,62.4099338881068,62.62167387652099,7493704
2022-03-01,63.194183349609375,63.845103504834206,62.684425308544,63.060861821550084,6606860
2022-03-02,63.54709243774414,63.67256706810813,62.07271502799674,62.99027824867216,7432135
2022-03-03,62.33151626586914,63.609828492824825,62.14329801118042,63.39808216719111,6167892
2022-03-04,60.66891860961914,62.15113652680785,60.151320004685346,62.033502488872756,10608029
2022-03-07,60.268951416015625,60.81007806752758,58.84163659998811,59.759199731931915,8298665
2022-03-08,60.91667938232422,61.31803847216489,59.66344762445348,60.98220551313702,11667177
2022-03-09,61.965126037597656,61.965126037597656,61.10506431273228,61.43270813048905,14106156
2022-03-10,62.726890563964844,63.73438275319204,62.276383621463566,62.554872948080465,9151992
2022-03-11,63.46408462524414,64.38147677475759,63.25930394030575,63.31664094965034,11544034
2022-03-14,65.06133270263672,65.06133270263672,63.36578975041851,63.72619664010795,6611083
2022-03-15,65.22515106201172,65.22515106201172,64.09478915544943,64.54529609464409,7230151
2022-03-16,65.06951904296875,65.6920370106385,64.91389284779738,65.53641081546714,5358398
2022-03-17,66.02787017822266,66.02787017822266,65.06951927802024,65.24972601257065,7868612
2022-03-18,66.1671142578125,66.28178826693915,65.66746604382858,66.28178826693915,16520965
2022-03-21,66.01968383789062,66.42923202788306,65.70842483983908,66.15074268730427,4518544
2022-03-22,65.6920394897461,66.15893127986419,65.0285693173063,65.92139412277285,4066316
2022-03-23,65.4544906616211,65.79851265958091,65.2824796626412,65.65926471847938,4645215
2022-03-24,65.91319274902344,66.01967764208538,65.3398226994466,65.49545548061279,3638613
2022-03-25,66.10977935791016,66.38008615573801,65.70023119613147,66.02786840685603,3227956
2022-03-28,66.51113891601562,66.9288827915686,66.158927757907,66.158927757907,3761394
2022-03-29,66.80602264404297,67.10089680848809,66.33913085793046,66.83878570748216,6633343
2022-03-30,66.8797378540039,67.22376650366937,66.45380484252875,66.72411165437468,4511873
2022-03-31,66.5521011352539,67.02718204224199,66.5521011352539,66.69134910098305,4657173
2022-04-01,66.01968383789062,66.51933869569444,66.01968383789062,66.36370589992246,4449662
2022-04-04,66.94527435302734,67.19100063931097,66.49476737018375,66.63401534270774,4293142
2022-04-05,67.2319564819336,67.28929349202988,66.35551650182225,67.00260844154847,4191270
2022-04-06,68.82919311523438,68.82919311523438,67.05993519055765,67.1582243670435,6104681
2022-04-07,69.48448181152344,70.13976277937519,69.38618603992535,69.45990786862392,7701791
2022-04-08,71.04077911376953,71.13906829537795,69.86945849027904,69.86945849027904,8457729
2022-04-11,71.91722869873047,72.13838103553012,70.85239282357858,70.85239282357858,7456998
2022-04-12,70.99163818359375,71.40118637066998,70.60665734920848,71.33566024317595,4816737
