Price,Close,High,Low,Open,Volume
Ticker,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI
Date,,,,,
2022-04-27,12051.48046875,12082.8896484375,11814.83984375,11924.9599609375,54134000
2022-04-28,12068.41015625,12171.58984375,12033.8603515625,12097.76953125,42639900
2022-04-29,12128.759765625,12219.509765625,12117.5595703125,12134.1396484375,37559500
2022-05-02,11971.73046875,12097.98046875,11863.6298828125,12081.23046875,37041200
2022-05-03,12001.8798828125,12067.740234375,11937.150390625,12003.58984375,43381800
2022-05-04,11880.240234375,11994.330078125,11880.240234375,11971.41015625,35595700
2022-05-05,11877.26953125,12048.1396484375,11857.6298828125,12009.0,45767700
2022-05-06,11730.419921875,11866.6298828125,11671.48046875,11843.990234375,42179800
2022-05-09,11444.1796875,11701.8701171875,11444.1796875,11669.3701171875,44842600
2022-05-10,11541.7197265625,11655.6201171875,11478.759765625,11526.7099609375,44943100
2022-05-11,11553.66015625,11568.599609375,11408.9599609375,11536.0,49964900
2022-05-12,11506.1298828125,11548.9296875,11288.01953125,11380.4296875,52084300
2022-05-13,11650.419921875,11650.419921875,11529.7998046875,11544.509765625,40331700
2022-05-16,11672.23046875,11721.5703125,11584.5595703125,11622.490234375,38599900
2022-05-17,11730.4404296875,11808.009765625,11687.3701171875,11740.0595703125,34919500
2022-05-18,11579.1396484375,11783.1298828125,11579.1396484375,11736.0400390625,39120300
2022-05-19,11309.490234375,11465.83984375,11233.7197265625,11464.2001953125,47444000
2022-05-20,11308.98046875,11419.6201171875,11286.51953125,11410.4296875,46453600
2022-05-23,11466.2802734375,11466.2802734375,11348.75,11438.990234375,40402800
2022-05-24,11483.5595703125,11532.0302734375,11383.2802734375,11391.650390625,38508500
2022-05-25,11491.7998046875,11576.5595703125,11468.9404296875,11548.3896484375,33783500
2022-05-27,11647.169921875,11657.240234375,11501.0302734375,11566.0,41899300
2022-05-30,11736.259765625,11751.16015625,11673.1904296875,11707.76953125,30798600
2022-05-31,11611.3798828125,11718.91015625,11597.3896484375,11686.26953125,74161800
2022-06-01,11494.1201171875,11692.66015625,11494.1201171875,11682.240234375,33017700
2022-06-02,11550.2001953125,11571.419921875,11501.3203125,11502.580078125,24761200
2022-06-03,11529.16015625,11615.400390625,11524.0498046875,11605.7197265625,24162500
2022-06-07,11534.1796875,11575.76953125,11493.48046875,11563.6796875,33798300
2022-06-08,11467.3896484375,11549.669921875,11411.4296875,11546.740234375,84824800
2022-06-09,11322.4296875,11478.3798828125,11322.4296875,11434.099609375,61760300
2022-06-10,11084.6201171875,11248.8203125,11018.5595703125,11248.8203125,54669200
2022-06-13,10896.25,11020.23046875,10855.25,10963.7197265625,51352500
2022-06-14,10699.0703125,10940.3203125,10699.0703125,10920.669921875,51205900
2022-06-15,10783.58984375,10850.169921875,10682.7001953125,10778.8095703125,48496200
2022-06-16,10475.3701171875,10735.0498046875,10441.6201171875,10722.75,65599400
2022-06-17,10451.3095703125,10592.1201171875,10424.8095703125,10482.7001953125,116514100
2022-06-20,10485.91015625,10485.91015625,10392.099609375,10450.5,27532800
2022-06-21,10479.83984375,10578.0302734375,10479.83984375,10519.400390625,32839500
2022-06-22,10528.33984375,10543.009765625,10349.650390625,10372.8896484375,42127400
2022-06-23,10453.3095703125,10521.7099609375,10404.76953125,10468.75,39932300
2022-06-24,10823.1201171875,10823.1201171875,10503.2998046875,10507.830078125,50568400
2022-06-27,10906.8203125,10921.0302734375,10826.919921875,10873.4296875,42376200
2022-06-28,10809.5703125,10933.740234375,10802.7998046875,10921.0595703125,34670700
2022-06-29,10811.75,10811.75,10662.58984375,10708.0703125,35765800
2022-06-30,10741.2099609375,10741.2099609375,10606.509765625,10708.900390625,53672200
2022-07-01,10770.400390625,10815.3896484375,10631.5498046875,10647.01953125,30960200
2022-07-04,10881.9697265625,10918.8798828125,10833.8203125,10835.669921875,25026400
2022-07-05,10702.5,10916.2001953125,10702.5,10907.2802734375,43847400
2022-07-06,10840.599609375,10896.6796875,10780.1201171875,10823.8603515625,38335200
2022-07-07,10940.98046875,10988.419921875,10859.58984375,10911.01953125,36863100
2022-07-08,11015.0302734375,11030.0,10882.8603515625,10935.2900390625,35620300
2022-07-11,11027.16015625,11027.5,10879.25,10891.169921875,25559000
2022-07-12,11069.830078125,11069.830078125,10925.900390625,10969.5302734375,29160800
2022-07-13,10904.849609375,10991.8798828125,10805.3896484375,10991.8798828125,39553700
2022-07-14,10799.51953125,10883.2197265625,10755.4599609375,10877.1904296875,36827400
2022-07-15,10982.08984375,10982.08984375,10797.900390625,10842.33984375,48085100
2022-07-18,11010.1796875,11114.7802734375,10993.3095703125,11001.9296875,32809200
2022-07-19,11122.080078125,11143.0595703125,10939.509765625,10959.9501953125,36103200
2022-07-20,11059.490234375,11188.3095703125,11052.9501953125,11151.900390625,28162500
2022-07-21,11134.740234375,11134.740234375,11002.169921875,11019.4296875,37652900
2022-07-22,11096.1201171875,11178.0302734375,11075.9697265625,11095.259765625,28076000
2022-07-25,11129.349609375,11156.3203125,11029.6904296875,11034.330078125,32424200
2022-07-26,11102.3095703125,11144.3203125,11074.150390625,11142.0,49817400
2022-07-27,11056.740234375,11138.0302734375,11056.740234375,11134.4697265625,51490300
2022-07-28,11129.330078125,11129.330078125,11041.169921875,11084.6796875,44580100
2022-07-29,11145.91015625,11216.759765625,11145.91015625,11174.4501953125,45617200
2022-08-02,11118.099609375,11135.9599609375,11019.6298828125,11118.1103515625,41975300
2022-08-03,11178.990234375,11200.3603515625,11054.01953125,11076.0703125,29075000
2022-08-04,11202.66015625,11230.080078125,11151.080078125,11153.8896484375,34656500
2022-08-05,11123.0703125,11220.4697265625,11112.169921875,11176.009765625,27582800
2022-08-08,11166.3203125,11210.1396484375,11144.76953125,11178.9404296875,28171200
2022-08-09,11132.48046875,11177.3701171875,11100.66015625,11135.330078125,37402400
2022-08-10,11155.099609375,11170.4599609375,11065.1103515625,11089.51953125,33515900
2022-08-11,11154.580078125,11205.009765625,11114.7197265625,11192.5703125,37483400
2022-08-12,11128.240234375,11178.0400390625,11110.7998046875,11130.91015625,29584800
2022-08-15,11171.5400390625,11188.98046875,11104.0,11157.2197265625,20944500
2022-08-16,11130.4404296875,11185.919921875,11085.1298828125,11182.58984375,22806500
2022-08-17,11128.1904296875,11192.6796875,11114.599609375,11137.83984375,58811200
2022-08-18,11167.58984375,11186.5,11090.080078125,11107.7001953125,20217600
2022-08-19,11156.7197265625,11241.1796875,11125.7998046875,11125.7998046875,33741200
2022-08-22,11085.83984375,11144.599609375,11052.3896484375,11105.650390625,31922300
2022-08-23,10933.0595703125,11046.4599609375,10921.849609375,11021.23046875,28730300
2022-08-24,11012.8701171875,11020.4404296875,10895.26953125,10925.6396484375,28571200
2022-08-25,11063.8798828125,11122.1796875,10975.509765625,11056.9501953125,24985900
2022-08-26,10942.16015625,11102.5,10930.3701171875,11095.6904296875,26911200
2022-08-29,10896.740234375,10938.169921875,10840.6103515625,10882.900390625,24437200
2022-08-30,10884.9501953125,11007.8603515625,10865.8203125,10914.1796875,24859000
2022-08-31,10855.0302734375,10949.599609375,10816.5400390625,10898.1298828125,39441000
2022-09-01,10663.4404296875,10778.9296875,10652.2802734375,10768.6103515625,36870600
2022-09-02,10891.7099609375,10897.0595703125,10713.25,10720.4599609375,37118900
2022-09-05,10819.5400390625,10837.23046875,10686.58984375,10742.150390625,26024100
2022-09-06,10834.1796875,10930.48046875,10780.1201171875,10819.7802734375,26479800
2022-09-07,10805.16015625,10841.6201171875,10727.1201171875,10799.6298828125,28106900
2022-09-08,10790.3203125,10867.830078125,10667.4296875,10849.330078125,32637200
2022-09-09,10900.240234375,10940.51953125,10793.240234375,10814.3896484375,31983300
2022-09-12,10990.75,11013.98046875,10901.1201171875,10928.599609375,34481000
2022-09-13,10891.5400390625,11083.490234375,10891.5400390625,11034.080078125,41209100
2022-09-14,10754.400390625,10872.759765625,10727.4296875,10840.3603515625,39102000
2022-09-15,10746.7001953125,10837.099609375,10714.58984375,10762.9501953125,32701900
2022-09-16,10610.650390625,10750.9501953125,10610.650390625,10692.7998046875,105561000
2022-09-19,10617.009765625,10645.3896484375,10520.900390625,10588.1796875,29772400
2022-09-20,10476.5400390625,10690.83984375,10476.5400390625,10648.169921875,32526800
2022-09-21,10429.400390625,10450.6201171875,10380.48046875,10415.669921875,31948000
2022-09-22,10297.650390625,10458.099609375,10266.7001953125,10268.669921875,49474200
2022-09-23,10137.7802734375,10322.1904296875,10091.8701171875,10276.650390625,68985400
2022-09-26,10072.6201171875,10160.8896484375,10015.3701171875,10131.5400390625,49658700
2022-09-27,10126.4296875,10201.23046875,10108.849609375,10120.5595703125,47256700
2022-09-28,10220.759765625,10220.759765625,10059.7900390625,10065.2099609375,66470600
2022-09-29,10126.990234375,10166.0703125,10041.51953125,10159.400390625,49269600
2022-09-30,10267.5498046875,10275.8603515625,10155.650390625,10174.2197265625,45452400
2022-10-03,10290.7099609375,10290.7099609375,10097.83984375,10182.26953125,69774600
2022-10-04,10590.919921875,10590.919921875,10355.75,10367.4697265625,57987000
2022-10-05,10477.6904296875,10593.5595703125,10449.5302734375,10532.169921875,46787500
2022-10-06,10391.1298828125,10525.3798828125,10358.7802734375,10506.1103515625,49478000
2022-10-07,10308.5703125,10439.8798828125,10297.1904296875,10343.4501953125,47889300
2022-10-10,10262.51953125,10290.7099609375,10200.240234375,10238.8798828125,46915800
2022-10-11,10207.830078125,10230.4501953125,10122.509765625,10199.76953125,39794400
2022-10-12,10199.3203125,10249.91015625,10139.66015625,10198.8896484375,39305300
2022-10-13,10227.900390625,10227.900390625,10010.7802734375,10129.0302734375,48067900
2022-10-14,10329.33984375,10460.1103515625,10305.740234375,10322.400390625,51183900
2022-10-17,10498.7099609375,10538.3203125,10296.169921875,10326.919921875,38216400
2022-10-18,10578.759765625,10645.7099609375,10513.9697265625,10513.990234375,41706000
2022-10-19,10484.1396484375,10591.900390625,10484.1396484375,10582.740234375,35399700
2022-10-20,10473.4501953125,10502.1396484375,10426.2001953125,10461.9501953125,34664200
2022-10-21,10418.599609375,10461.5400390625,10319.8603515625,10387.1298828125,44977700
2022-10-24,10595.5302734375,10628.7900390625,10472.3798828125,10489.7998046875,40971100
2022-10-25,10773.33984375,10773.759765625,10629.5498046875,10639.9599609375,46787100
2022-10-26,10817.2099609375,10821.2900390625,10689.8095703125,10760.3603515625,40669200
2022-10-27,10706.6201171875,10789.9501953125,10702.490234375,10787.26953125,89643700
2022-10-28,10772.3701171875,10783.5400390625,10635.0498046875,10649.150390625,50161400
2022-10-31,10827.9296875,10850.3095703125,10746.1904296875,10794.9599609375,52600400
2022-11-01,10783.650390625,10926.5400390625,10755.330078125,10870.08984375,33818100
2022-11-02,10806.23046875,10864.6201171875,10766.76953125,10821.7197265625,32975200
2022-11-03,10710.58984375,10741.51953125,10633.3798828125,10724.7802734375,32624400
2022-11-04,10787.76953125,10852.48046875,10707.6201171875,10727.830078125,40552200
2022-11-07,10750.3896484375,10806.6201171875,10712.8798828125,10751.990234375,34498100
2022-11-08,10827.0400390625,10845.26953125,10718.3203125,10725.8798828125,39262400
2022-11-09,10904.330078125,10911.4501953125,10803.0400390625,10813.6796875,35709400
2022-11-10,11120.490234375,11147.6796875,10846.41015625,10882.08984375,50118100
2022-11-11,11127.150390625,11252.16015625,11087.91015625,11091.16015625,68834500
2022-11-14,10999.58984375,11129.5,10993.099609375,11116.3095703125,41997000
2022-11-15,11026.2197265625,11087.419921875,10991.740234375,11008.8896484375,40182400
2022-11-16,10936.6201171875,11022.349609375,10922.4501953125,11022.349609375,36685200
2022-11-17,10917.8798828125,10993.1103515625,10838.7998046875,10962.2802734375,32549600
2022-11-18,11045.490234375,11063.8798828125,10949.419921875,10991.6298828125,44285900
2022-11-21,11085.0400390625,11101.919921875,11019.98046875,11022.75,34491400
2022-11-22,11074.2998046875,11104.83984375,11046.8203125,11074.9296875,29670300
2022-11-23,11094.4599609375,11104.1298828125,11066.0400390625,11077.5400390625,48210600
2022-11-24,11157.5595703125,11175.26953125,11085.3798828125,11088.6201171875,37168400
2022-11-25,11168.0302734375,11188.2900390625,11140.3798828125,11166.330078125,67759200
2022-11-28,11162.16015625,11199.1904296875,11115.3701171875,11147.669921875,78928100
2022-11-29,11077.8095703125,11176.9697265625,11071.5595703125,11160.08984375,90091000
2022-11-30,11127.76953125,11204.8798828125,11127.76953125,11143.0703125,122259800
2022-12-01,11238.2001953125,11283.8701171875,11207.5595703125,11215.5,95237300
2022-12-02,11198.1298828125,11234.25,11122.6796875,11206.5302734375,113722400
2022-12-05,11194.669921875,11239.759765625,11170.9296875,11196.4697265625,107446800
2022-12-06,11109.330078125,11208.1103515625,11085.2802734375,11185.6796875,106876000
2022-12-07,11009.9501953125,11077.76953125,11000.6396484375,11062.08984375,45713800
2022-12-08,11004.5302734375,11035.9599609375,10940.26953125,11022.16015625,44413700
2022-12-09,11068.2998046875,11101.330078125,10980.7998046875,11010.7001953125,68181300
2022-12-12,11033.6396484375,11050.2998046875,10989.76953125,11037.3603515625,46639700
2022-12-13,11136.6201171875,11223.4697265625,11014.16015625,11070.6201171875,53410800
2022-12-14,11160.6904296875,11175.4501953125,11079.51953125,11110.08984375,55328400
2022-12-15,10880.1396484375,11093.1396484375,10880.1396484375,11093.1396484375,63403900
2022-12-16,10770.3798828125,10913.650390625,10746.3701171875,10895.400390625,118069500
2022-12-19,10773.23046875,10837.9404296875,10760.26953125,10790.240234375,43017000
2022-12-20,10659.1904296875,10728.76953125,10659.1904296875,10696.580078125,50578100
