Price,Close,High,Low,Open,Volume
Ticker,NESN.SW,NESN.SW,NESN.SW,NESN.SW,NESN.SW
Date,,,,,
2022-01-03,115.09855651855469,115.61517447941118,114.15439781436962,114.26127960238297,3412729
2022-01-04,115.34795379638672,115.61517185162174,114.11875889707055,115.61517185162174,2920374
2022-01-05,112.2304458618164,114.20784051906473,111.92760506346046,114.19002235702162,5579892
2022-01-06,111.98104095458984,112.1057409007688,110.64496427784047,110.9121755358079,3806803
2022-01-07,110.85873413085938,111.8563404913166,110.48463429405193,111.62475196563882,3579390
2022-01-10,108.57849884033203,111.0012522914476,108.2934694222971,110.98343413027439,4560274
2022-01-11,108.82789611816406,109.84331382025564,108.41816676430581,108.89915516987085,3707378
2022-01-12,108.48941802978516,109.25543579156349,107.9549819759776,109.11291769837835,5324981
2022-01-13,108.13314056396484,108.77445845709452,107.8124816174,108.48942903744104,4004810
2022-01-14,107.63432312011719,107.99061155763587,106.886123517401,107.38492325254512,5059252
2022-01-17,108.61412811279297,108.93478705678632,107.43838091669646,107.70559217293268,3021837
2022-01-18,109.00604248046875,109.34451959542463,107.8837429395323,108.40035410151552,4164905
2022-01-19,107.02864837646484,108.40034773482297,106.90394163915877,108.15094785148513,3854008
2022-01-20,107.95498657226562,108.13313419633185,106.90393937500438,107.09989836365872,3333929
2022-01-21,107.81248474121094,108.63194349700342,107.1711668294994,107.18897819565245,4307748
2022-01-24,105.10469055175781,107.58088471643799,105.10469055175781,107.42055525563526,6007234
2022-01-25,104.85529327392578,106.04885178172843,104.44556392965157,105.1046931534286,5295402
2022-01-26,105.0690689086914,106.12011616487192,104.76622812425776,105.99541621885366,3817307
2022-01-27,105.37191772460938,105.78164709428015,104.03584103391172,104.21398187441642,3613879
2022-01-28,105.15813446044922,105.51442291642587,103.91113505798653,105.47879339126449,3689914
2022-01-31,106.06666564941406,106.77923573406399,105.53223638701742,106.08447701338469,3821371
2022-02-01,105.99541473388672,107.26023233757343,105.67475579272146,106.63673261621724,3700682
2022-02-02,107.33149719238281,107.7412265736573,105.99542046384693,107.01083823388319,3668181
2022-02-03,106.3517074584961,107.75904322376236,106.13793708770804,107.2958661588111,3446058
2022-02-04,106.08448028564453,107.33148646679275,105.60349189596006,107.0642684295335,3547443
2022-02-07,106.03104400634766,106.60110283469061,105.71038506595009,106.19137347654645,2784198
2022-02-08,104.9621810913086,106.70799393953047,104.67715167038945,106.33388730311867,3185525
2022-02-09,105.90634155273438,106.93957060625777,105.3006532125182,105.33628273789999,3062124
2022-02-10,105.12250518798828,105.49661180526347,104.55244637531013,105.37191186471743,4455469
2022-02-11,106.24481964111328,106.83269665956489,104.3921249592288,104.76623160535146,4333065
2022-02-14,104.481201171875,105.67475976783642,104.4099421165717,105.33628944860203,3910564
2022-02-15,104.92655944824219,106.24481798530302,104.60590049692739,104.60590049692739,3360711
2022-02-16,104.481201171875,105.71038929548807,104.14272405700306,105.15814181034376,3253060
2022-02-17,104.55245208740234,105.15814045841854,102.82446419015643,103.32326397959186,4226310
2022-02-18,105.2828369140625,106.08448426023806,104.87310755838105,105.22939602286321,4082897
2022-02-21,105.72819519042969,106.65454247452479,105.35409536290202,105.69257246025893,3599316
2022-02-22,105.81727600097656,105.81727600097656,104.12491084355639,104.85529915836247,4584096
2022-02-23,105.90634155273438,107.34929995469267,105.72819392582544,105.72819392582544,3298777
